id,name,domain,subdomain,status,scale,keywords,brief_description,canonical_examples
139,Antiferromagnetismo,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
140,Ferroelettricità,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
141,Piezoelettricità,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
142,Piroelettricità,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
143,Magnetoresistenza,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
144,Magnetoresistenza gigante,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
145,Magnetoresistenza colossale,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
146,Spintronica (trasporto di spin),Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
147,Transizioni di fase di ordine-disordine,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
148,Vetri di spin,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
149,Cristalli liquidi nematici,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
150,Cristalli liquidi smettici,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
151,Isolanti topologici,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
152,Semimetalli di Weyl,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
153,Grafene: trasporto balistico,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
154,Effetti di confinamento quantistico in 2D,Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
155,Plasmoni di superficie (SPP),Fisica,Materiali/Condensata,Consolidated,Materials,"materiali,trasporto,simmetrie",Proprietà collettive della materia misurate in laboratorio.,"Dispositivi magnetici, spintronica, materiali 2D"
156,Reazione acido–base,Chimica,Chimica fisica,Consolidated,Chem,"pH,protoni",Trasferimento di protoni tra specie con formazione spesso di sale e acqua.,HCl + NaOH → NaCl + H₂O
157,Neutralizzazione,Chimica,Chimica fisica,Consolidated,Chem,"sale,acqua",Reazione acido-base che porta a pH più vicino alla neutralità.,Acido forte + base forte = sali disciolti.
158,Ossidazione–riduzione,Chimica,Elettrochimica,Consolidated,Chem,"redox,elettroni","Trasferimento di elettroni tra specie chimiche, variazione degli stati di ossidazione.","Corrosione ferro, batterie."
159,Elettrolisi,Chimica,Elettrochimica,Consolidated,Chem,"celle,elettrodi",Uso di corrente elettrica per forzare una reazione redox non spontanea.,Elettrolisi dell'acqua in H₂ e O₂.
160,Celle galvaniche,Chimica,Elettrochimica,Consolidated,Chem,"Volta,Daniell",Dispositivo che genera energia elettrica da una reazione redox spontanea.,"Pila Daniell, batteria primaria."
161,Equilibrio chimico,Chimica,Chimica fisica,Consolidated,Chem,Le Châtelier,Stato dinamico in cui velocità diretta e inversa di reazione sono uguali.,Equilibrio acido carbonico / CO₂ disciolta.
162,Cinètica chimica,Chimica,Chimica fisica,Consolidated,Chem,"ordine,reazione",Studio delle velocità di reazione e dei meccanismi elementari.,Determinare passo lento in reazioni catalizzate.
163,Catalisi omogenea,Chimica,Catalisi,Consolidated,Chem,attivazione,Catalizzatore nella stessa fase delle specie reagenti.,Acidi forti in soluzione che accelerano esterificazioni.
164,Catalisi eterogenea,Chimica,Catalisi,Consolidated,Chem,superfici,Catalizzatore in fase diversa (tipicamente solido con reagenti gassosi/liquidi).,Platino in reazioni di idrogenazione.
165,Catalisi enzimatica,Chimica,Biochimica,Consolidated,Chem,Michaelis–Menten,Catalisi biologica altamente selettiva mediata da enzimi.,"Idrolisi ATP, replicazione DNA."
166,Polimerizzazione radicalica,Chimica,Chimica dei polimeri,Consolidated,Chem,catena,Crescita di catene polimeriche via radicali liberi reattivi.,Formazione di polietilene.
167,Polimerizzazione a stadi,Chimica,Chimica dei polimeri,Consolidated,Chem,condensazione,Polimeri creati per reazioni stepwise tra monomeri multifunzionali.,"Poliestere, poliammidi."
168,Sostituzione nucleofila SN1,Chimica,Organica,Consolidated,Chem,carbocatione,Meccanismo in due stadi via carbocatione intermedio.,Alogenuro terziario → alcol.
169,Sostituzione nucleofila SN2,Chimica,Organica,Consolidated,Chem,inversione,Meccanismo concertato con inversione di configurazione stereochimica.,Alogenuro primario + OH⁻ → alcol.
170,Addizione elettrofila,Chimica,Organica,Consolidated,Chem,alcheni,Un elettrofilo si aggiunge a un doppio legame C=C.,Addizione HBr a un alchene.
171,Eliminazione E1,Chimica,Organica,Consolidated,Chem,"carbocatione,alcheni",Eliminazione a due stadi con formazione di carbocatione.,Deidratazione di alcoli terziari.
172,Eliminazione E2,Chimica,Organica,Consolidated,Chem,base forte,Eliminazione concertata base-dipendente per formare un doppio legame.,Deidroalogenazione di alogenuri alchilici.
173,Esterificazione di Fischer,Chimica,Organica,Consolidated,Chem,esteri,Formazione di esteri da acido carbossilico + alcol in presenza di acido forte.,Acetato di etile da etanolo + acido acetico.
174,Idrogenazione catalitica,Chimica,Organica,Consolidated,Chem,metalli,Aggiunta di H₂ a doppi/tripli legami con catalizzatore metallico.,Riduzione di un alchene a alcano.
175,Idratazione di alcheni,Chimica,Organica,Consolidated,Chem,Markovnikov,Addizione di acqua a un doppio legame per dare alcoli.,Propene → 2-propanolo.
176,Aromaticità e regola di Hückel,Chimica,Organica,Consolidated,Chem,"anelli,π",Stabilità speciale di sistemi ciclici con (4n+2) elettroni π.,"Benzene, naftalene."
177,Reazioni di Grignard,Chimica,Organica,Consolidated,Chem,organomagnesio,Nucleofili R-MgX reagiscono con elettrofili carbonilici.,Formazione di alcoli da aldeidi/chetoni.
178,Reazioni di Diels–Alder,Chimica,Organica,Consolidated,Chem,cicloadizione,Reazione [4+2] tra un diene e un dienofilo per formare un ciclo.,Sintesi di anelli ciclici con controllo stereochimico.
179,Reazioni di Wittig,Chimica,Organica,Consolidated,Chem,alcheni,Trasformazione di chetoni/aldeidi in alcheni via ilide di fosforo.,Aldeide aromatica → alchene sostituito.
180,Ossidazione di alcoli (PCC),Chimica,Organica,Consolidated,Chem,aldeidi/chetoni,Ossidazione selettiva senza overoxidation ad acidi.,Alcol primario → aldeide con PCC.
181,Riduzione LiAlH4/NaBH4,Chimica,Organica,Consolidated,Chem,alcoli,"Riduzione di carbossilici, esteri, aldeidi, chetoni in alcoli.",NaBH4: riduzione chetoni → alcoli secondari.
182,Chemiadsorbimento,Chimica,Superfici,Consolidated,Chem,adsorbimento chimico,Adsorbimento con formazione di legame chimico forte alla superficie.,CO su Pt in catalisi.
183,Fisisorbimento,Chimica,Superfici,Consolidated,Chem,"van der Waals,adsorbimento fisico",Adsorbimento per interazioni deboli non covalenti.,Adsorbimento N₂ su carbone attivo.
184,Reazioni oscillanti BZ,Chimica,Chimica non lineare,Consolidated,Chem,"pattern,autorganizzazione",Reazioni chimiche non lineari periodiche con cambi di colore e stati redox.,Belousov–Zhabotinsky.
185,Autoassemblaggio supramolecolare,Chimica,Supramolecolare,Consolidated,Chem,"host-guest,self-assembly",Formazione spontanea di strutture ordinate tramite legami non covalenti.,"Cavitandi, cucurbiturili ospite-ospite."
186,Gravità quantistica a loop,Fisica,Teoria dei campi,Theoretical,Quantum,spaziotempo discreto,Tentativo di quantizzare la gravità tramite reti di spin e geometria discreta.,
187,Teoria delle Stringhe,Fisica,Teoria dei campi,Theoretical,Quantum,"stringhe,dimensioni extra",Modello in cui le particelle fondamentali sono stringhe vibranti in dimensioni extra.,
188,Supersimmetria (SUSY),Fisica,Teoria dei campi,Unconfirmed,Quantum,partner supersimmetrici,Estensione del Modello Standard che accoppia bosoni e fermioni; non ancora osservata.,
189,Assioni come materia oscura,Fisica,Cosmologia,Unconfirmed,Quantum,"assioni,DM",Ipotesi di particelle leggere quasi invisibili per spiegare la materia oscura.,
190,WIMP come materia oscura,Fisica,Cosmologia,Unconfirmed,Quantum,"WIMP,DM",Particelle massive debolmente interagenti candidate come materia oscura.,
191,Energia oscura come quintessenza,Fisica,Cosmologia,Theoretical,Quantum,campo dinamico,Campo scalare dinamico per spiegare l'accelerazione cosmica osservata.,
192,MOND (dinamica newtoniana modificata),Fisica,Gravitazione,Unconfirmed,Quantum,gravità modificata,Modifica delle leggi dinamiche a basse accelerazioni per spiegare curve di rotazione galattiche senza materia oscura.,
193,Wormhole traversabili,Fisica,Relatività generale,Theoretical,Quantum,ponti Einstein-Rosen,Soluzioni ipotetiche della Relatività che collegherebbero regioni distanti di spaziotempo.,
194,Censura cosmica (ipotesi),Fisica,Relatività generale,Theoretical,Quantum,singolarità nude,Congettura che impedisce l'esistenza di singolarità 'nude' visibili dall'esterno.,
195,Multiverso (inflazione eterna),Fisica,Cosmologia,Theoretical,Quantum,universi multipli,Scenario in cui regioni inflazionarie generano molte 'tasche' di universo con leggi fisiche differenti.,
196,Costanti fondamentali variabili,Fisica,Fondamentali,Unconfirmed,Quantum,α variabile,Ipotesi che i valori numerici delle costanti fondamentali cambino nello spazio o nel tempo cosmico.,
197,Evaporazione dei mini buchi neri,Fisica,Cosmologia,Theoretical,Quantum,Hawking,Radiazione di Hawking applicata a micro-buchi neri primordiali; non osservata direttamente.,
198,Confinamento di quark esotici,Fisica,QCD,Emerging,Quantum,"tetraquark,pentaquark",Stati adronici esotici oltre i barioni/mesoni classici; fenomeno in studio.,
199,Materia oscura elettronica (ipotesi),Fisica,Materia condensata,Emerging,Quantum,fasi elettroniche oscure,Fasi collettive elettroniche con firme di trasporto anomale che imitano 'materia oscura' interna.,
200,Chimica polaritonica (forte accoppiamento luce-materia),Chimica,Chimica quantistica,Emerging,Chem,"cavità,fotoni,polaritoni",La reattività chimica viene alterata dall'accoppiamento quantistico molecola–cavità fotonica.,
201,CISS (Chirality Induced Spin Selectivity),Chimica,Chimica fisica,Emerging,Chem,"spin,selettività,chiralità",Trasporto di spin polarizzato indotto dalla chiralità molecolare; meccanismo ancora in chiarimento.,
202,Catalisi plasmonica quantistica,Chimica,Chimica fisica,Emerging,Chem,"plasmoni,hot carriers",Plasmoni metallici generano portatori caldi che facilitano chimica superficiale su scala ultrarapida.,
203,Superconduttività a T ambiente (controverse),Chimica,Materiali,Unconfirmed,Chem,"alta Tc,ambiente","Affermazioni di superconduttività prossima a temperatura ambiente in materiali esotici, non ancora replicate in modo robusto.",
204,Fasi topologiche esotiche in 2D,Chimica,Materiali,Emerging,Chem,"anyoni,ordine topologico",Stati quantistici 2D con quasi-particelle anyoniche e ordine topologico a lunga portata.,
205,Auto-organizzazione chimica fuori equilibrio estrema,Chimica,Chimica non lineare,Emerging,Chem,"pattern,onde chimiche",Formazione spontanea di pattern e onde chimiche in regimi lontani dall'equilibrio.,
206,Riflessione speculare,Fisica,Ottica geometrica,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
207,Riflessione diffusa,Fisica,Ottica geometrica,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
208,Rifrazione a interfaccia piana,Fisica,Ottica geometrica,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
209,Rifrazione in prismi,Fisica,Ottica geometrica,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
210,Interferenza a doppia fenditura,Fisica,Ottica ondulatoria,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
211,Interferenza in film sottili,Fisica,Ottica ondulatoria,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
212,Diffrazione da reticolo,Fisica,Ottica ondulatoria,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
213,Diffrazione di Fraunhofer,Fisica,Ottica ondulatoria,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
214,Diffrazione di Fresnel,Fisica,Ottica ondulatoria,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
215,Birifrangenza,Fisica,Ottica dei cristalli,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
216,Effetto Kerr ottico,Fisica,Ottica non lineare,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
217,Second harmonic generation,Fisica,Ottica non lineare,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
218,Third harmonic generation,Fisica,Ottica non lineare,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
219,Optical parametric amplification,Fisica,Ottica non lineare,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
220,Stimulated Brillouin scattering,Fisica,Ottica non lineare,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
221,Stimulated Raman scattering,Fisica,Ottica non lineare,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
222,Solitoni ottici,Fisica,Ottica non lineare,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
223,Mode locking laser,Fisica,Laser,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
224,Q-switching laser,Fisica,Laser,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
225,Supercontinuum,Fisica,Ottica non lineare,Consolidated,Macro,"ottica,onde,nonlineare",Fenomeno ottico consolidato e riproducibile in laboratorio.,"Laser industriali, fibre ottiche non lineari"
226,Onde stazionarie in cavità acustica,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
227,Risonanza di Helmholtz,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
228,Riflessione acustica,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
229,Rifrazione acustica,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
230,Assorbimento acustico,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
231,Scattering acustico,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
232,Sonic boom,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
233,Onde di shock,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
234,Solitoni in canali poco profondi,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
235,Solitoni in fibre ottiche,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
236,Onde di spin,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
237,Onde di plasma,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
238,Risonanza ciclotronica,Fisica,Onde/Acustica/Plasma,Consolidated,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
239,Onde gravitazionali stocastiche (background cosmico),Fisica,Onde/Acustica/Plasma,Emerging,Macro,"onde,risonanza,nonlineare",Fenomeno ondulatorio in mezzi diversi.,"Acustica, plasma confinato, astrofisica di alta energia"
240,Spettroscopia IR,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
241,Spettroscopia Raman,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
242,Spettroscopia UV-Vis,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
243,Spettroscopia NMR,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
244,Spettroscopia ESR/EPR,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
245,Spettroscopia di fotoemissione (XPS),Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
246,Spettrometria di massa,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
247,Diffrazione a raggi X,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
248,Diffrazione di neutroni,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
249,Scattering inelastico di neutroni,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
250,ARPES,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
251,Spettroscopia Mössbauer,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
252,Ellissometria,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
253,Spettroscopia THz,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
254,Spettroscopia di assorbimento a raggi X (XAS),Fisica/Chimica,Spettroscopia,Consolidated,Micro,"analitica,spettri",Interazione radiazione-materia usata per rivelare struttura e stati.,"Caratterizzazione materiali, identificazione fasi, difetti cristallini"
255,NMR a 1H,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 1H.,"Analisi strutturale molecolare, materiali di batteria"
256,NMR a 13C,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 13C.,"Analisi strutturale molecolare, materiali di batteria"
257,NMR a 15N,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 15N.,"Analisi strutturale molecolare, materiali di batteria"
258,NMR a 19F,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 19F.,"Analisi strutturale molecolare, materiali di batteria"
259,NMR a 31P,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 31P.,"Analisi strutturale molecolare, materiali di batteria"
260,NMR a 29Si,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 29Si.,"Analisi strutturale molecolare, materiali di batteria"
261,NMR a 27Al,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 27Al.,"Analisi strutturale molecolare, materiali di batteria"
262,NMR a 7Li,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 7Li.,"Analisi strutturale molecolare, materiali di batteria"
263,NMR a 23Na,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 23Na.,"Analisi strutturale molecolare, materiali di batteria"
264,NMR a 57Fe,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 57Fe.,"Analisi strutturale molecolare, materiali di batteria"
265,NMR a 119Sn,Fisica/Chimica,Spettroscopia,Consolidated,Micro,"NMR,spettri",Risonanza magnetica nucleare sul nucleo 119Sn.,"Analisi strutturale molecolare, materiali di batteria"
266,Batteria: Li-ion NMC,Chimica,Elettrochimica applicata,Consolidated,Chem,"energia,immagazzinamento",Fenomeni elettrochimici di carica/scarica e degrado del sistema energetico.,"Accumulo di energia portatile, veicoli elettrici, stazioni remote"
267,Batteria: Li-ion LFP,Chimica,Elettrochimica applicata,Consolidated,Chem,"energia,immagazzinamento",Fenomeni elettrochimici di carica/scarica e degrado del sistema energetico.,"Accumulo di energia portatile, veicoli elettrici, stazioni remote"
268,Batteria: Li-S zolfo,Chimica,Elettrochimica applicata,Consolidated,Chem,"energia,immagazzinamento",Fenomeni elettrochimici di carica/scarica e degrado del sistema energetico.,"Accumulo di energia portatile, veicoli elettrici, stazioni remote"
269,Batteria: Na-ion Prussian blue,Chimica,Elettrochimica applicata,Consolidated,Chem,"energia,immagazzinamento",Fenomeni elettrochimici di carica/scarica e degrado del sistema energetico.,"Accumulo di energia portatile, veicoli elettrici, stazioni remote"
270,Batteria: Zn-aria,Chimica,Elettrochimica applicata,Consolidated,Chem,"energia,immagazzinamento",Fenomeni elettrochimici di carica/scarica e degrado del sistema energetico.,"Accumulo di energia portatile, veicoli elettrici, stazioni remote"
271,Batteria: Al-aria,Chimica,Elettrochimica applicata,Consolidated,Chem,"energia,immagazzinamento",Fenomeni elettrochimici di carica/scarica e degrado del sistema energetico.,"Accumulo di energia portatile, veicoli elettrici, stazioni remote"
272,Formazione stellare,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
273,Nucleosintesi nelle stelle,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
274,Supernovae di tipo Ia,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
275,Supernovae a collasso del nucleo,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
276,Nane bianche,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
277,Stelle di neutroni,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
278,Magnetar,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
279,Pulsar,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
280,Accrescimento su buchi neri,Fisica,Astrofisica,Consolidated,Cosmic,"stelle,evoluzione,ondeG",Fenomeno astrofisico osservato e modellato.,"Osservatori multi-banda, interferometri gravitazionali, telescopi orbitali"
